Wed Mar 06 2013 16:44:15 GMT-0600 (CST) bot {"publicNoticeUrl":"pdf/CPRAWhiskeyIslandJPN.pdf","projectManagerName":"Donald Rodrigue","permitApplicationNumber":"MVN-2013-00266-WOO","expirationDate":"2013-03-10","projectManagerPhone":"504-862-1445","projectDescription":"Whiskey Island Restoration in TERREBONNE PARISH","parish":"terrebonne","location":"Terrebonne Parish","latitude":"","publicNoticeDate":"2013-02-18","type":"impact","status":"1","CUP":"","locationOfWork":"","acreage":"","characterOfWork":"","projectManagerEmail":"donald.a.rodrigue@usace.army.mil","notes":"","applicant":"Coastal Protection and Restoration Authority","longitude":"","reminderDate":"","drawingsUrl":"pdf/CPRAWhiskeyIslandPLATS.pdf","WQC":"","flagged":"0"}
Thu Mar 07 2013 09:56:26 GMT-0600 (CST) bot {"characterOfWork":"","locationOfWork":""}
Tue Mar 19 2013 16:03:13 GMT-0500 (CDT) scott {"status":"5"}
Tue Mar 19 2013 16:03:15 GMT-0500 (CDT) scott {"type":"restoration"}
Tue Mar 19 2013 16:04:53 GMT-0500 (CDT) scott {"CUP":"P20121652"}
Tue Mar 19 2013 16:08:35 GMT-0500 (CDT) scott {"WQC":"130206-01"}
Tue Mar 19 2013 16:08:39 GMT-0500 (CDT) scott {"latitude":"29.050617"}
Tue Mar 19 2013 16:08:42 GMT-0500 (CDT) scott {"longitude":"-90.820198"}
Tue Mar 19 2013 16:28:07 GMT-0500 (CDT) scott {"acreage":"1086.6"}
Tue Mar 19 2013 16:43:44 GMT-0500 (CDT) scott {"notes":"http://lacoast.gov/reports/project/3890534~1.pdf"}
Tue Mar 19 2013 22:09:29 GMT-0500 (CDT) bot {"characterOfWork":"","locationOfWork":""}
Fri Mar 22 2013 00:00:58 GMT-0500 (CDT) bot {"characterOfWork":"","locationOfWork":""}
Sat Mar 23 2013 00:00:42 GMT-0500 (CDT) bot {"characterOfWork":"","locationOfWork":""}
Tue Mar 26 2013 00:00:46 GMT-0500 (CDT) bot {"characterOfWork":"","locationOfWork":""}
Tue Mar 26 2013 11:20:26 GMT-0500 (CDT) bot {"characterOfWork":"","locationOfWork":""}
Sun Apr 07 2013 11:14:13 GMT-0500 (CDT) bot {"characterOfWork":"","locationOfWork":""}
Mon Apr 08 2013 00:00:49 GMT-0500 (CDT) bot {"characterOfWork":"","locationOfWork":""}
